Best config:
{'alpha': 0.8170262751188082, 'beta': 0.0022840214229752354, 'gamma': 0.27566949441816124, 'epoch': 10000}

All trials:
Trial af850_00000: {'alpha': 0.6716183473903145, 'beta': 0.9481282372754678, 'gamma': 0.24568423725938426, 'epoch': 10000}, Reward: -48675195.07870302
Trial af850_00001: {'alpha': 0.3864173992642006, 'beta': 0.12008462614363669, 'gamma': 0.14925790692606644, 'epoch': 10000}, Reward: -11063165.769682398
Trial af850_00002: {'alpha': 0.8170262751188082, 'beta': 0.0022840214229752354, 'gamma': 0.27566949441816124, 'epoch': 10000}, Reward: 1686563.8998207178
Trial af850_00003: {'alpha': 0.06062345743094677, 'beta': 0.26548876092685647, 'gamma': 0.5681485616299468, 'epoch': 10000}, Reward: -22476367.06502675
Trial af850_00004: {'alpha': 0.5011281707172024, 'beta': 0.9426818693012471, 'gamma': 0.6030395785994661, 'epoch': 10000}, Reward: -67552370.52575819
Trial af850_00005: {'alpha': 0.06910868421133032, 'beta': 0.32508130187416184, 'gamma': 0.9202386096587779, 'epoch': 10000}, Reward: -28761647.543633156
Trial af850_00006: {'alpha': 0.4087971839929493, 'beta': 0.3703495641132226, 'gamma': 0.5163404005890687, 'epoch': 10000}, Reward: -31749888.32187288
Trial af850_00007: {'alpha': 0.8140959931314571, 'beta': 0.770467539168408, 'gamma': 0.2695448638702762, 'epoch': 10000}, Reward: -41157837.8316292
Trial af850_00008: {'alpha': 0.7764377133375983, 'beta': 0.4577738089138066, 'gamma': 0.2923588039818492, 'epoch': 10000}, Reward: -35189425.11217354
Trial af850_00009: {'alpha': 0.7333171395815861, 'beta': 0.347056128184979, 'gamma': 0.9977812460552558, 'epoch': 10000}, Reward: -21211708.768966187
