Best config:
{'alpha': 0.7423670839830001, 'beta': 0.2103330633886542, 'gamma': 0.687558586653879, 'epoch': 10000}

All trials:
Trial b86af_00000: {'alpha': 0.01089059854479213, 'beta': 0.37078643095803054, 'gamma': 0.24003924046877234, 'epoch': 10000}, Reward: -21066751.16491616
Trial b86af_00001: {'alpha': 0.7423670839830001, 'beta': 0.2103330633886542, 'gamma': 0.687558586653879, 'epoch': 10000}, Reward: -14688290.98441423
Trial b86af_00002: {'alpha': 0.38076672603517603, 'beta': 0.2507052348285814, 'gamma': 0.436581022554941, 'epoch': 10000}, Reward: -16808476.662826106
Trial b86af_00003: {'alpha': 0.780868417832978, 'beta': 0.8150836330962515, 'gamma': 0.14293254207529882, 'epoch': 10000}, Reward: -34126962.608225115
Trial b86af_00004: {'alpha': 0.9960361553202747, 'beta': 0.7731061109492255, 'gamma': 0.9694891701736889, 'epoch': 10000}, Reward: -37878813.5463881
Trial b86af_00005: {'alpha': 0.2157757128495128, 'beta': 0.6786339309542792, 'gamma': 0.02990288343039882, 'epoch': 10000}, Reward: -25965260.89145461
Trial b86af_00006: {'alpha': 0.06888803742545124, 'beta': 0.5587685867560337, 'gamma': 0.023361367231752306, 'epoch': 10000}, Reward: -30802984.633024853
Trial b86af_00007: {'alpha': 0.8091259678316652, 'beta': 0.3250731173768472, 'gamma': 0.20757520187737333, 'epoch': 10000}, Reward: -23605592.62656796
Trial b86af_00008: {'alpha': 0.4162830508820158, 'beta': 0.8854701394758642, 'gamma': 0.5166215932055221, 'epoch': 10000}, Reward: -40574746.407227755
Trial b86af_00009: {'alpha': 0.45500209213441667, 'beta': 0.6783284163535952, 'gamma': 0.11735810195659124, 'epoch': 10000}, Reward: -27412254.286518946
