Time_Seconds,DL_bitrate,Network_Type
564.4199999999914,0.927360639361,3G
567.4569999999917,5.524,4G
568.4569999999917,8.701,4G
569.4569999999917,3.746,4G
570.4569999999917,8.399,4G
573.4569999999917,19.14,5G
574.4569999999917,18.375,5G
575.4569999999917,12.679,5G
576.4569999999917,12.554,5G
579.4569999999917,37.703,5G
579.4569999999917,0.003,5G
580.4569999999917,30.339,5G
581.4569999999917,84.169,5G
582.4569999999917,230.098,5G
585.4569999999917,3.773,5G
586.4569999999917,2.009,5G
587.4569999999917,1.999,5G
588.4569999999917,2.78,5G
591.4569999999917,5.256,4G
592.4569999999917,5.815,4G
594.4569999999917,7.94,4G
595.4569999999917,9.237,4G
599.4569999999917,8.69,5G
599.4569999999917,8.69,5G
600.4569999999917,0.001,5G
600.4569999999917,0.001,5G
601.4569999999917,2.898,5G
602.4569999999917,8.903,5G
606.4569999999917,13.968,4G
607.4569999999917,11.206,4G
608.4569999999917,9.595,4G
609.4569999999917,9.327,4G
612.4569999999917,0.0,5G
613.4569999999917,0.0,5G
614.4569999999917,0.0,5G
615.4569999999917,0.0,5G
