Time_Seconds,DL_bitrate,Network_Type
0,1.05191401038,3G
1.0200000000004366,1.26341176471,3G
2.0210000000006403,1.4540979021,3G
3.030000000000655,0.969831516353,3G
6.071000000001732,42.152,4G
7.071000000001732,42.04,4G
8.071000000001732,42.029,4G
9.071000000001732,42.085,4G
12.071000000001732,0.002,5G
13.071000000001732,0.002,5G
14.071000000001732,4.566,5G
15.071000000001732,6.01,5G
18.07100000000173,2.091,4G
19.07100000000173,0.234,4G
20.07100000000173,1.23,4G
21.07100000000173,0.861,4G
24.07100000000173,5.256,5G
25.07100000000173,5.256,5G
26.07100000000173,13.595,5G
27.07100000000173,51.221,5G
30.07100000000173,7.4,5G
32.07100000000173,6.338,5G
33.07100000000173,9.102,5G
35.07100000000173,0.586,5G
35.07100000000173,0.586,5G
36.07100000000173,4.856,5G
37.07100000000173,11.289,5G
38.07100000000173,8.04,5G
41.07100000000173,16.516,5G
42.07100000000173,55.526,5G
43.07100000000173,122.679,5G
44.07100000000173,100.681,5G
47.07100000000173,2.605,4G
48.07100000000173,2.684,4G
49.07100000000173,6.576,4G
51.07100000000173,4.865,4G
54.07100000000173,22.122,4G
55.07100000000173,12.593,4G
56.07100000000173,19.717,4G
57.07100000000173,24.18,4G
60.07100000000173,10.937,4G
61.07100000000173,8.231,4G
62.07100000000173,7.638,4G
63.07100000000173,10.837,4G
66.07100000000173,32.523,4G
67.07100000000173,17.01,4G
68.07100000000173,23.173,4G
69.07100000000173,35.409,4G
72.07100000000173,2.1889652433,3G
73.07200000000194,4.92441958042,3G
74.10100000000193,4.43322837707,3G
75.10300000000188,5.08333732535,3G
78.13400000000229,2.62672475248,3G
79.1430000000023,2.78117740337,3G
80.14400000000228,2.43168031968,3G
81.14500000000231,2.97379420579,3G
84.16400000000232,4.742,4G
85.16400000000232,4.753,4G
86.16400000000232,7.247,4G
88.16400000000232,3.332,4G
91.16400000000232,6.643,4G
92.16400000000232,6.822,4G
93.16400000000232,6.99,4G
94.16400000000232,8.488,4G
97.16400000000232,3.232,4G
98.16400000000232,0.167,4G
99.16400000000232,2.505,4G
100.16400000000232,2.874,4G
103.16400000000232,0.733322772277,3G
104.17400000000254,0.888118811881,3G
105.88400000000257,0.240191812865,3G
107.89400000000279,0.39104079602,3G
111.62400000000326,25.376,4G
112.62400000000326,31.986,4G
113.62400000000326,34.894,4G
114.62400000000326,41.973,4G
117.62400000000326,0.520331034483,3G
118.62500000000347,0.641822177822,3G
119.78900000000414,0.717841924399,3G
120.7970000000094,0.908333333333,3G
123.96300000001048,0.391,4G
124.96300000001048,0.447,4G
125.96300000001048,0.548,4G
126.96300000001048,0.905,4G
129.96300000001048,21.954,4G
130.96300000001048,16.854,4G
131.96300000001048,17.693,4G
132.96300000001048,22.121,4G
135.96300000001048,2.32332673267,3G
136.9720000000105,1.95685232904,3G
137.99200000001048,1.15877647059,3G
138.99300000001045,0.929310689311,3G
142.03100000001047,2.178,4G
143.03100000001047,1.089,4G
144.03100000001047,2.178,4G
146.03100000001047,1.089,4G
149.03100000001047,1.9,5G
151.03100000001047,1.676,5G
152.03100000001047,1.363,5G
154.03100000001047,1.04733864542,3G
155.04600000000988,1.24119802956,3G
156.1150000000094,1.03000187091,3G
157.1870000000095,1.51025373134,3G
160.28600000000785,24.258,4G
161.28600000000785,19.907,4G
162.28600000000785,21.193,4G
163.28600000000785,14.416,4G
166.28600000000785,81.844,4G
167.28600000000785,106.549,4G
168.28600000000785,108.693,4G
169.28600000000785,85.407,4G
172.28600000000785,5.032,4G
173.28600000000785,10.268,4G
174.28600000000785,9.428,4G
175.28600000000785,8.444,4G
178.28600000000785,12.345,5G
178.28600000000785,12.345,5G
179.28600000000785,12.14,5G
180.28600000000785,12.069,5G
181.28600000000785,12.093,5G
184.28600000000785,0.659,4G
185.28600000000785,0.19,4G
186.28600000000785,0.973,4G
188.28600000000785,1.498,4G
191.28600000000785,1.28689328063,3G
192.2940000000131,1.29650793651,3G
193.29500000001332,1.54156243756,3G
194.31400000001355,0.874394504416,3G
197.3310000000243,1.843,5G
198.3310000000243,2.516,5G
199.3310000000243,2.598,5G
201.3310000000243,2.065,5G
204.3310000000243,13.158,5G
206.3310000000243,10.733,5G
207.3310000000243,10.264,5G
209.3310000000243,2.08250545094,3G
210.3420000000229,1.66690405539,3G
211.35100000002473,1.85167888999,3G
212.36100000002313,1.92895936571,3G
215.39200000002216,214.441,5G
216.39200000002216,206.9,5G
216.39200000002216,206.9,5G
217.39200000002216,0.0,5G
217.39200000002216,0.0,5G
221.39200000002216,15.136,5G
222.39200000002216,22.177,5G
225.39200000002216,9.606,5G
226.39200000002216,1.58043916914,3G
227.39300000002055,1.4101978022,3G
228.41100000002058,1.2900589391,3G
229.44100000002123,0.613631067961,3G
232.46100000001803,2.60206993007,3G
233.60900000001544,2.61848780488,3G
234.62000000001404,3.51945346535,3G
235.6240000000185,3.56170517928,3G
238.93100000001192,171.979,5G
239.93100000001192,153.891,5G
240.93100000001192,140.226,5G
242.93100000001192,30.54,5G
245.93100000001192,151.881,5G
246.93100000001192,0.163,5G
246.93100000001192,0.163,5G
247.93100000001192,2.945,5G
248.93100000001192,18.635,5G
252.93100000001192,5.145,4G
253.93100000001192,2.93,4G
254.93100000001192,5.782,4G
255.93100000001192,6.553,4G
258.9310000000119,2.61754245754,3G
259.9320000000121,2.38794805195,3G
260.94000000001193,2.82736507937,3G
261.94200000001143,3.12827145709,3G
264.95200000001165,0.886766798419,3G
265.96100000000985,0.641958374628,3G
266.96400000001046,0.690847457627,3G
268.0520000000102,0.752397058824,3G
271.0730000000072,6.363,4G
272.0730000000072,5.234,4G
273.0730000000072,6.788,4G
274.0730000000072,6.441,4G
277.0730000000072,0.795,4G
278.0730000000072,0.626,4G
279.0730000000072,0.145,4G
279.0730000000072,0.145,4G
282.0730000000072,0.686415686275,3G
283.188000000007,1.08221704036,3G
284.2040000000084,1.22796850394,3G
285.21300000000844,1.04359167493,3G
288.45900000000944,40.173,5G
289.45900000000944,36.442,5G
292.45900000000944,18.138,5G
293.45900000000944,1.63454258121,3G
294.46900000000784,1.90707326733,3G
295.47000000000804,2.55833766234,3G
296.4940000000093,1.80259375,3G
299.5150000000063,1.73979253867,3G
300.61500000000666,2.55546181818,3G
301.61600000000686,1.97888511489,3G
302.61700000000707,2.08443556444,3G
305.818000000008,13.029,4G
306.818000000008,13.029,4G
306.818000000008,10.188,4G
307.818000000008,10.188,4G
307.818000000008,11.139,4G
311.818000000008,47.408,4G
311.818000000008,46.536,4G
312.818000000008,45.709,4G
313.818000000008,26.472,4G
315.818000000008,28.374,4G
318.818000000008,2.09993650794,3G
319.827000000008,2.00023785927,3G
320.8280000000082,2.02261738262,3G
321.82900000000797,1.46957042957,3G
324.8480000000082,1.02039246779,3G
326.0980000000082,0.8975424,3G
327.10800000001024,0.607397423191,3G
328.12800000000703,0.435349019608,3G
331.6380000000091,0.277,5G
331.6380000000091,2.423,5G
332.6380000000091,2.423,5G
332.6380000000091,14.401,5G
334.6380000000091,12.229,5G
336.6380000000091,1.2245034965,3G
337.6490000000077,1.19074183976,3G
338.6530000000121,0.909258964143,3G
339.6570000000093,1.77676494024,3G
342.68300000001096,0.055,5G
343.68300000001096,0.055,5G
346.68300000001096,0.067,5G
347.68300000001096,3.56540497512,3G
348.68400000001117,3.76551448551,3G
349.68500000001137,4.41056543457,3G
350.6940000000132,3.77270168484,3G
353.6970000000138,1.479,5G
353.6970000000138,1.479,5G
354.6970000000138,2.81,5G
355.6970000000138,11.255,5G
356.6970000000138,8.254,5G
359.6970000000138,1.23,4G
360.6970000000138,2.695,4G
361.6970000000138,3.12,4G
362.6970000000138,1.811,4G
365.6970000000138,11.452,4G
366.6970000000138,2.706,4G
368.6970000000138,0.167,4G
369.6970000000138,3.88,4G
373.6970000000138,2.885,4G
374.6970000000138,3.713,4G
375.6970000000138,3.534,4G
376.6970000000138,4.227,4G
379.6970000000138,0.768,5G
380.6970000000138,1.079,5G
381.6970000000138,1.149,5G
383.6970000000138,0.801,5G
386.6970000000138,45.405,5G
388.6970000000138,35.351,5G
389.6970000000138,35.351,5G
391.6970000000138,0.214588235294,3G
392.8880000000136,0.660769101595,3G
393.89800000001384,1.28095841584,3G
394.89900000001313,1.06380819181,3G
398.29100000001296,3.01094444444,3G
399.34100000001587,3.03734095238,3G
400.4820000000155,3.2028115688,3G
401.4920000000139,3.18045148515,3G
404.73300000001933,0.0,4G
405.73300000001933,0.001,4G
411.73300000001933,0.0,4G
412.73300000001933,0.588962818004,3G
